name,team,throws,base_avg,games,strikeouts,ip,era,top_pitch,pitch_k_pct,whiff_pct,skill_score,p1,p1_use,p1_whiff,p2,p2_use,p2_whiff,p3,p3_use,p3_whiff,p4,p4_use,p4_whiff,p5,p5_use,p5_whiff
freddy peralta,MIL,R,7.05,23,155,128.2,4.05,Four-seam 51% use,31.1%,29.8%,8.3,Four-seam FB,51%,W:28%,Slider,24%,W:38%,Changeup,15%,W:32%,Curveball,10%,W:25%,—,0%,—
luis castillo,CHW,R,6.15,24,142,141.1,3.63,Four-seam 43% use,24.3%,25.0%,7.4,Four-seam FB,43%,W:23%,Sinker,22%,W:14%,Slider,19%,W:33%,Changeup,16%,W:28%,—,0%,—
george kirby,SEA,R,5.80,24,139,145.0,3.37,Four-seam 39% use,23.1%,20.9%,7.2,Four-seam FB,39%,W:19%,Slider,22%,W:29%,Sinker,18%,W:11%,Splitter,12%,W:28%,Curveball,9%,W:21%
logan gilbert,SEA,R,6.00,24,143,154.2,3.15,Four-seam 42% use,24.0%,23.4%,7.5,Four-seam FB,42%,W:21%,Slider,26%,W:31%,Splitter,16%,W:34.,Cutter,11%,W:18%,Curveball,5%,W:22%
bryce miller,SEA,R,5.45,23,119,132.1,3.46,Four-seam 46% use,22.2%,21.6%,6.8,Four-seam FB,46%,W:21%,Sinker,18%,W:12%,Slider,15%,W:29%,Sweeper,11%,W:31%,Splitter,10%,W:25%
logan webb,SFG,R,5.20,25,130,158.2,3.40,Changeup 37% use,20.8%,22.1%,6.9,Changeup,37%,W:31%,Sinker,35%,W:12%,Slider,22%,W:26%,Cutter,6%,W:15%,—,0%,—
blake snell,SFG,L,7.45,15,103,81.0,3.60,Four-seam 46% use,30.8%,32.4%,8.5,Four-seam FB,46%,W:26%,Curveball,24%,W:45%,Slider,18%,W:39%,Changeup,12%,W:33%,—,0%,—
kevin gausman,TOR,R,5.90,23,126,131.0,4.20,Four-seam 49% use,23.5%,24.4%,6.9,Four-seam FB,49%,W:19%,Splitter,36%,W:38%,Slider,11%,W:25%,Sinker,4%,W:11%,—,0%,—
josé berríos,TOR,R,5.10,24,111,146.1,3.90,Slurve 31% use,19.2%,20.5%,6.3,Slurve,31%,W:29%,Sinker,29%,W:11%,Four-seam FB,24%,W:16%,Changeup,16%,W:24%,—,0%,—
shota imanaga,CHC,L,5.85,21,123,122.2,3.08,Four-seam 52% use,25.4%,23.8%,7.3,Four-seam FB,52%,W:22%,Splitter,31%,W:34%,Sweeper,11%,W:27%,Curveball,6%,W:21%,—,0%,—
justin steele,CHC,L,5.75,20,113,119.0,3.22,Four-seam 58% use,24.1%,22.9%,7.0,Four-seam FB,58%,W:21%,Slider,34%,W:32%,Sinker,8%,W:13%,—,0%,—,—,0%,—
ronel blanco,HOU,R,5.65,22,121,129.1,2.98,Changeup 34% use,23.9%,25.2%,7.1,Changeup,34%,W:31%,Slider,29%,W:33%,Four-seam FB,25%,W:18%,Sinker,12%,W:11%,—,0%,—
framber valdez,HOU,R,5.40,21,114,131.2,3.35,Sinker 48% use,21.5%,22.8%,6.7,Sinker,48%,W:14%,Curveball,26%,W:36%,Changeup,18%,W:31%,Cutter,8%,W:19%,—,0%,—
hunter brown,HOU,R,6.05,23,139,128.0,3.80,Four-seam 35% use,25.6%,24.9%,6.9,Four-seam FB,35%,W:22%,Cutter,25%,W:25%,Knuckle Curve,18%,W:33%,Slider,12%,W:29%,Sinker,10%,W:13%
grayson rodriguez,BAL,R,6.10,20,130,116.2,3.86,Four-seam 43% use,26.5%,25.7%,7.1,Four-seam FB,43%,W:24%,Changeup,23%,W:36%,Slider,18%,W:33%,Cutter,11%,W:19%,Curveball,5%,W:25%
kutter crawford,BOS,R,5.55,23,122,133.2,4.04,Kutter 29% use,22.9%,22.1%,6.6,Cutter,29%,W:21%,Four-seam FB,28%,W:23%,Sweeper,18%,W:31%,Splitter,14%,W:27%,Slider,11%,W:24%
tanner houck,BOS,R,5.35,23,119,139.2,3.09,Sinker 42% use,21.1%,21.8%,7.0,Sinker,42%,W:13%,Slider,32%,W:35%,Splitter,21%,W:29%,Cutter,5%,W:16%,—,0%,—
bryan woo,SEA,R,5.05,14,59,74.0,2.31,Four-seam 50% use,20.1%,19.4%,6.4,Four-seam FB,50%,W:18%,Sinker,22%,W:11%,Slider,15%,W:26.,Changeup,13%,W:21%,—,0%,—
gavin williams,CLE,R,5.25,12,58,61.1,4.10,Four-seam 52% use,22.6%,21.9%,6.2,Four-seam FB,52%,W:23%,Slider,24%,W:28%,Curveball,14%,W:27.,Changeup,10%,W:18%,—,0%,—
ben lively,CLE,R,4.85,20,91,111.0,3.75,Sinker 31% use,18.9%,19.5%,5.8,Sinker,31%,W:12%,Slider,28%,W:26%,Four-seam FB,22%,W:16%,Changeup,15%,W:23%,Cutter,4%,W:14%
pablo lópez,MIN,R,6.00,23,141,129.2,4.60,Four-seam 39% use,25.8%,26.2%,6.7,Four-seam FB,39%,W:23%,Changeup,24%,W:34%,Sweeper,21.,W:36%,Sinker,11%,W:12%,Curveball,5%,W:22%
joe ryan,MIN,R,6.15,23,145,135.0,3.60,Four-seam 56% use,26.7%,25.1%,7.3,Four-seam FB,56%,W:24.,Splitter,22%,W:29%,Sweeper,17%,W:31%,Slider,5%,W:22%,—,0%,—
bailey ober,MIN,R,5.85,22,129,122.2,3.75,Four-seam 44% use,25.3%,24.5%,6.9,Four-seam FB,44%,W:22%,Changeup,26%,W:29%,Cutter,18%,W:21%,Slider,12%,W:27%,—,0%,—
seth lugo,KCR,R,5.30,24,127,156.0,3.00,Sinker 24% use,20.4%,21.2%,7.2,Sinker,24%,W:12%,Four-seam FB,20%,W:18%,Curveball,19%,W:29%,Slider,16%,W:25%,Changeup,12%,W:23%
reagan detmers,LAA,L,5.40,20,111,105.1,4.25,Four-seam 44% use,24.8%,24.2%,6.0,Four-seam FB,44%,W:22%,Slider,26%,W:34%,Curveball,16%,W:31%,Changeup,14%,W:19%,—,0%,—
tyler anderson,LAA,L,5.00,23,107,138.0,2.96,Changeup 35% use,19.2%,21.4%,6.5,Changeup,35%,W:32%,Four-seam FB,31%,W:15%,Cutter,22%,W:17%,Sinker,12%,W:10%,—,0%,—
jack flaherty,LAD,R,7.00,21,148,123.1,2.95,Four-seam 44% use,30.2%,29.4%,8.1,Four-seam FB,44%,W:26%,Slider,32%,W:38%,Knuckle Curve,21%,W:34%,Changeup,3%,W:18%,—,0%,—
gavin stone,LAD,R,4.90,21,91,121.1,3.63,Changeup 33% use,18.3%,19.1%,6.1,Changeup,33%,W:29%,Sinker,28%,W:11%,Four-seam FB,24%,W:16%,Slider,11%,W:22%,Cutter,4%,W:15%
reiver sanmartin,CIN,L,4.50,15,42,45.0,4.20,Sinker 45% use,17.1%,18.4%,5.2,Sinker,45%,W:12%,Slider,35%,W:27%,Changeup,20%,W:21%,—,0%,—,—,0%,—
andrew abbott,CIN,L,5.20,23,105,126.1,3.41,Four-seam 48% use,19.9%,21.0%,6.3,Four-seam FB,48%,W:19%,Sweeper,24%,W:29%,Changeup,16%,W:24%,Curveball,12%,W:22%,—,0%,—
nick lodolo,CIN,L,6.10,18,110,102.1,3.95,Curveball 31% use,26.2%,25.9%,6.8,Curveball,31%,W:37%,Four-seam FB,42%,W:21%,Sinker,22%,W:13%,Changeup,5%,W:23%,—,0%,—
mitch keller,PIT,R,5.40,23,121,136.2,3.56,Sinker 26% use,20.8%,20.2%,6.8,Sinker,26%,W:12%,Four-seam FB,24%,W:19%,Cutter,22%,W:21%,Sweeper,16%,W:29%,Curveball,12%,W:23%
jared jones,PIT,R,6.45,16,98,91.0,3.56,Four-seam 48% use,26.4%,27.1%,7.0,Four-seam FB,48%,W:25%,Slider,38%,W:39%,Curveball,10%,W:26%,Changeup,4%,W:18%,—,0%,—
cristopher sánchez,PHI,L,5.10,22,106,127.0,3.33,Sinker 42% use,19.6%,21.1%,6.7,Sinker,42%,W:12%,Changeup,34%,W:36%,Slider,24%,W:27%,—,0%,—,—,0%,—
aaron nola,PHI,R,5.90,23,132,143.1,3.45,Knuckle Curve 32% use,23.8%,23.1%,7.4,Knuckle Curve,32%,W:31%,Sinker,26%,W:13%,Four-seam FB,22%,W:18.,Cutter,12%,W:19%,Changeup,8%,W:25%
ranger suárez,PHI,L,5.80,20,116,119.1,2.87,Sinker 34% use,24.1%,22.8%,7.3,Sinker,34.,W:13%,Curveball,24%,W:32%,Changeup,22.,W:29%,Cutter,14%,W:19%,Four-seam FB,6%,W:17%
reynaldo lópez,ATL,R,5.30,19,102,104.2,2.06,Four-seam 54% use,23.3%,22.5%,6.9,Four-seam FB,54%,W:21%,Slider,36%,W:31%,Curveball,8%,W:24%,Changeup,2%,W:18%,—,0%,—
charlie morton,ATL,R,5.50,21,111,116.1,4.16,Curveball 36% use,22.8%,23.4%,6.1,Curveball,36%,W:34%,Four-seam FB,33.,W:19%,Sinker,21%,W:11%,Cutter,7%,W:16%,Changeup,3%,W:21%
brayan bello,BOS,R,5.15,21,109,111.2,4.80,Sinker 38% use,21.8%,22.1%,5.9,Sinker,38%,W:12%,Changeup,32%,W:34%,Slider,21%,W:28%,Four-seam FB,9%,W:16%,—,0%,—
marcus stroman,NYY,R,4.65,22,86,115.1,4.10,Sinker 38% use,17.2%,18.4%,5.7,Sinker,38%,W:12%,Slurve,28%,W:27%,Cutter,18%,W:16%,Splitter,11%,W:23%,Four-seam FB,5%,W:14%
nestor cortes,NYY,L,5.50,24,124,134.1,4.15,Four-seam 44% use,22.6%,21.8%,6.5,Four-seam FB,44%,W:21%,Cutter,28%,W:19%,Sweeper,18%,W:31%,Changeup,10.,W:22%,—,0%,—
carlos rodón,NYY,L,5.80,24,133,129.2,4.30,Four-seam 51% use,24.2%,23.9%,6.4,Four-seam FB,51%,W:22%,Slider,35%,W:33%,Changeup,8%,W:21%,Cutter,6%,W:15%,—,0%,—
luis gil,NYY,R,6.40,22,138,117.1,3.25,Four-seam 54% use,28.2%,27.5%,7.3,Four-seam FB,54%,W:26%,Slider,28%,W:34%,Changeup,18%,W:29%,—,0%,—,—,0%,—
corbin martin,BAL,R,4.50,12,31,34.0,4.75,Four-seam 46% use,18.1%,19.0%,5.1,Four-seam FB,46%,W:18%,Slider,32%,W:26%,Changeup,22%,W:22%,—,0%,—,—,0%,—
zack littell,WSN,R,5.10,23,101,123.1,4.22,Slider 36% use,20.4%,21.1%,6.1,Slider,36%,W:28%,Four-seam FB,32%,W:18%,Sinker,18%,W:11%,Splitter,14%,W:24%,—,0%,—
mitchell parker,WSN,L,5.05,21,93,114.0,4.11,Four-seam 46% use,19.8%,20.4%,6.0,Four-seam FB,46%,W:19%,Curveball,24%,W:28%,Splitter,20%,W:26%,Slider,10%,W:22%,—,0%,—
jake irvin,WSN,R,5.30,23,112,137.2,3.80,Four-seam 42% use,21.5%,20.9%,6.5,Four-seam FB,42%,W:20.,Curveball,31%,W:31%,Sinker,18%,W:12%,Cutter,9%,W:16%,—,0%,—
mackenzie gore,WSN,L,6.15,23,131,118.2,4.35,Four-seam 52% use,26.1%,25.4%,6.9,Four-seam FB,52%,W:23.,Slider,24%,W:34%,Curveball,16%,W:29%,Changeup,8%,W:21%,—,0%,—
patrick corbin,WSN,L,4.60,24,90,131.0,5.40,Slider 38% use,17.4%,18.9%,5.3,Slider,38%,W:26%,Sinker,34%,W:11%,Four-seam FB,18%,W:15%,Changeup,10%,W:19%,—,0%,—
miles mikolas,STL,R,4.80,24,92,136.2,5.15,Sinker 28% use,17.1%,18.0%,5.8,Sinker,28%,W:11%,Slider,26%,W:24%,Four-seam FB,22%,W:16%,Changeup,15%,W:21%,Curveball,9%,W:20%
sonny gray,STL,R,6.55,21,140,119.1,3.71,Sweeper 28% use,29.1%,28.4%,7.9,Sweeper,28%,W:38%,Four-seam FB,24%,W:22%,Sinker,18%,W:13%,Cutter,16%,W:20%,Curveball,14%,W:33%
kyle gibson,STL,R,5.20,22,112,125.1,4.04,Sinker 31% use,21.2%,21.9%,6.4,Sinker,31.,W:12%,Sweeper,24%,W:31%,Cutter,18%,W:17%,Changeup,16%,W:25%,Curveball,11.,W:22%
lance lynn,STL,R,5.35,21,103,106.1,4.06,Four-seam 42% use,22.4%,21.8%,6.1,Four-seam FB,42%,W:21%,Cutter,26%,W:18%,Sinker,18%,W:12%,Slider,10%,W:25%,Curveball,4%,W:21%
andre pallante,STL,R,4.85,13,54,69.0,3.85,Sinker 54% use,18.5%,19.1%,5.9,Sinker,54%,W:13%,Slider,24%,W:27%,Four-seam FB,12%,W:15%,Changeup,10%,W:21%,—,0%,—
cal quantrill,COL,R,4.90,22,91,121.1,4.15,Sinker 36% use,18.1%,19.2%,5.8,Sinker,36%,W:12%,Splitter,32%,W:29%,Cutter,18%,W:16%,Curveball,14%,W:22%,—,0%,—
auston gomber,COL,L,4.75,21,82,118.0,4.60,Four-seam 41% use,17.4%,18.1%,5.5,Four-seam FB,41%,W:18%,Changeup,26%,W:24%,Slider,21%,W:26%,Curveball,12%,W:21%,—,0%,—
ryan feltner,COL,R,5.05,21,98,111.1,4.99,Four-seam 46% use,20.2%,19.8%,5.7,Four-seam FB,46%,W:19%,Slider,26%,W:28%,Sinker,16%,W:11%,Changeup,12.,W:21%,—,0%,—
kyle freeland,COL,L,4.80,13,51,68.0,5.50,Sinker 38% use,17.1%,18.2%,5.2,Sinker,38%,W:12%,Slider,28%,W:25%,Four-seam FB,18%,W:16%,Changeup,16%,W:21%,—,0%,—
colin rea,MIL,R,5.00,21,94,119.2,3.60,Sinker 28% use,19.1%,19.8%,6.3,Sinker,28%,W:12%,Cutter,26%,W:18%,Four-seam FB,22%,W:17%,Splitter,14%,W:26%,Slider,10%,W:23%
tobias myers,MIL,R,5.40,17,81,89.0,3.45,Four-seam 48% use,22.8%,22.1%,6.5,Four-seam FB,48%,W:21%,Slider,26%,W:29%,Changeup,16%,W:24.,Cutter,10%,W:17%,—,0%,—
aarone civale,MIL,R,5.25,22,104,111.1,4.50,Cutter 31% use,22.1%,21.6%,6.0,Cutter,31%,W:19%,Sinker,22%,W:12%,Curveball,20%,W:29%,Four-seam FB,16%,W:18%,Slider,11%,W:25%
jordan montgomery,ARI,L,4.85,17,62,87.1,6.10,Sinker 42% use,17.1%,18.4%,5.4,Sinker,42%,W:12%,Changeup,28.,W:27%,Curveball,22%,W:26%,Four-seam FB,8%,W:15%,—,0%,—
brandon pfaadt,ARI,R,5.80,23,121,135.0,3.35,Sweeper 34% use,23.5%,22.8%,7.1,Sweeper,34%,W:32%,Four-seam FB,32%,W:21%,Sinker,20%,W:13%,Changeup,14%,W:24%,—,0%,—
ryne nelson,ARI,R,5.10,21,89,107.2,4.55,Four-seam 52% use,19.2%,19.8%,6.2,Four-seam FB,52%,W:19%,Cutter,22%,W:17%,Slider,16%,W:24%,Changeup,10%,W:21%,—,0%,—
zac gallen,ARI,R,6.15,18,102,98.1,3.60,Four-seam 44% use,25.2%,24.6%,7.5,Four-seam FB,44%,W:23%,Knuckle Curve,24%,W:31%,Changeup,22%,W:28%,Cutter,10%,W:19%,—,0%,—
michael king,SDP,R,6.40,23,142,129.2,3.35,Four-seam 38% use,27.1%,26.5%,7.8,Four-seam FB,38%,W:24%,Changeup,26%,W:35%,Slider,22%,W:33%,Sinker,14%,W:12%,—,0%,—
matt waldron,SDP,R,5.35,24,116,131.1,3.60,Knuckleball 38% use,21.8%,22.4%,6.9,Knuckleball,38%,W:26%,Four-seam FB,28%,W:18.,Sweeper,18%,W:29%,Sinker,12%,W:11%,Cutter,4%,W:15%
yu darvish,SDP,R,5.90,11,53,56.1,3.20,Slider 24% use,24.2%,23.8%,7.0,Slider,24%,W:31%,Four-seam FB,20%,W:20%,Sinker,18%,W:12%,Cutter,16%,W:18%,Splitter,12%,W:33%
randy vasquez,SDP,R,4.65,16,51,79.1,4.75,Sinker 34% use,16.2%,17.4%,5.4,Sinker,34%,W:11%,Cutter,24%,W:15%,Sweeper,18%,W:24%,Changeup,14%,W:19%,Four-seam FB,10%,W:16%
griffin canning,LAA,R,4.95,23,93,121.2,5.05,Four-seam 36% use,18.8%,19.5%,5.8,Four-seam FB,36%,W:18%,Changeup,26%,W:27%,Slider,24%,W:25%,Curveball,14%,W:22%,—,0%,—
josé soriano,LAA,R,5.45,20,91,113.0,3.48,Sinker 58% use,19.9%,21.2%,6.6,Sinker,58%,W:14%,Curveball,24%,W:33%,Splitter,14%,W:29%,—,0%,—,—,0%,—
chase silseth,LAA,R,5.20,8,32,36.1,4.95,Four-seam 42% use,21.5%,21.0%,5.6,Four-seam FB,42%,W:21%,Splitter,32%,W:31%,Slider,20.,W:26%,Sinker,6%,W:12%,—,0%,—
jonathan cannon,CHW,R,4.80,15,56,81.1,4.40,Sinker 38% use,17.4%,18.1%,5.8,Sinker,38%,W:12%,Sweeper,26%,W:24%,Cutter,20.,W:16%,Changeup,16%,W:21%,—,0%,—
chris flexen,CHW,R,4.70,23,82,111.0,4.90,Four-seam 34% use,17.2%,17.9%,5.5,Four-seam FB,34%,W:17%,Cutter,28%,W:15%,Changeup,20%,W:21%,Slider,14%,W:23%,Sinker,4%,W:11%
drew thorpe,CHW,R,5.10,11,41,61.1,3.95,Changeup 41% use,18.2%,20.5%,6.1,Changeup,41%,W:34%,Four-seam FB,34%,W:15%,Slider,21%,W:25%,Sinker,4%,W:11%,—,0%,—
erick fedde,CHW,R,5.85,21,108,121.2,3.11,Cutter 32% use,22.9%,23.4%,7.1,Cutter,31%,W:21%,Sinker,29%,W:12%,Sweeper,22%,W:29%,Changeup,18%,W:26%,—,0%,—
yusei kikuchi,HOU,L,6.45,22,130,115.2,4.75,Four-seam 48% use,27.4%,26.9%,7.0,Four-seam FB,48.,W:24%,Slider,28%,W:31%,Changeup,16%,W:29%,Curveball,8%,W:22%,—,0%,—
spencer arrighetti,HOU,R,5.80,20,101,95.1,5.00,Four-seam 44% use,23.8%,24.5%,6.1,Four-seam FB,44%,W:23%,Sweeper,24%,W:31%,Curveball,16%,W:27%,Changeup,12%,W:22%,Cutter,4%,W:15%
alec marsh,KCR,R,5.15,19,89,99.2,4.65,Four-seam 38% use,21.1%,20.8%,6.2,Four-seam FB,38%,W:20%,Slider,26%,W:28%,Sinker,16%,W:11%,Changeup,12%,W:22%,Curveball,8%,W:21%
michael wacha,KCR,R,5.30,21,97,116.1,3.75,Changeup 34% use,20.2%,21.4%,6.7,Changeup,34%,W:31%,Four-seam FB,32%,W:18%,Sinker,20%,W:12%,Cutter,11%,W:16%,Curveball,3%,W:20%
simon woods richardson,MIN,R,5.05,20,83,101.2,3.65,Four-seam 42% use,19.5%,20.1%,6.4,Four-seam FB,42%,W:19%,Slider,28%,W:26%,Changeup,18%,W:24%,Curveball,12%,W:21%,—,0%,—
louie varland,MIN,R,5.40,11,48,49.2,5.20,Four-seam 46% use,23.1%,22.8%,5.8,Four-seam FB,46%,W:21.,Cutter,26%,W:19%,Slider,18%,W:27%,Changeup,10%,W:22%,—,0%,—
reese olson,DET,R,5.50,19,92,102.1,3.30,Slider 32% use,22.1%,23.4%,7.0,Slider,32%,W:32%,Changeup,24%,W:31%,Sinker,22%,W:11%,Four-seam FB,16%,W:18%,Curveball,6.,W:22%
casey mize,DET,R,4.90,16,58,81.1,4.35,Four-seam 38% use,17.4%,18.1%,6.1,Four-seam FB,38%,W:17%,Splitter,26%,W:26%,Slider,22%,W:23%,Sinker,14%,W:11%,—,0%,—
keider montero,DET,R,4.95,9,41,45.2,5.15,Four-seam 44% use,19.2%,19.9%,5.5,Four-seam FB,44%,W:18%,Slider,28%,W:26%,Curveball,18%,W:24%,Changeup,10%,W:21%,—,0%,—
yoshinobu yamamoto,LAD,R,6.60,14,84,74.0,2.92,Four-seam 41% use,28.1%,27.4%,8.2,Four-seam FB,41%,W:24%,Splitter,28%,W:38%,Curveball,21%,W:31%,Cutter,10%,W:19%,—,0%,—
james paxton,LAD,L,4.60,18,64,89.1,4.40,Four-seam 52% use,16.4%,17.2%,5.3,Four-seam FB,52%,W:17%,Curveball,24%,W:24%,Cutter,16%,W:15%,Sinker,8%,W:11%,—,0%,—
landon knack,LAD,R,5.20,9,42,48.0,3.25,Four-seam 46% use,21.8%,21.1%,6.4,Four-seam FB,46.,W:20%,Slider,24%,W:26%,Changeup,18%,W:23%,Curveball,12%,W:21%,—,0%,—
kyle harrison,SFG,L,5.25,21,98,111.1,4.10,Four-seam 58% use,21.1%,20.8%,6.3,Four-seam FB,58%,W:20%,Changeup,22%,W:25%,Slider,16%,W:24%,Curveball,4%,W:21%,—,0%,—
jordan hicks,SFG,R,5.15,20,90,105.2,3.75,Sinker 52% use,20.4%,21.1%,6.5,Sinker,52%,W:13%,Splitter,24%,W:31%,Sweeper,18%,W:29%,Four-seam FB,6%,W:18%,—,0%,—
parker messick,CLE,L,5.80,22,128,129.2,2.57,Four-seam 37% use,24.6%,25.1%,7.8,Four-seam FB,37%,W:22%,Changeup,23%,W:34%,Sinker,17%,W:14%,Curveball,11%,W:29%,Cutter,7%,W:16%
drew rasmussen,TBR,R,5.85,21,122,117.1,2.92,Cutter 31% use,25.5%,26.4%,7.9,Cutter,31%,W:26%,Four-seam FB,27%,W:24%,Sinker,22%,W:15%,Changeup,12%,W:32%,Curveball,4%,W:21%
jacob misiorowski,MIL,R,7.45,15,114,84.2,1.45,Four-seam 52% use,38.8%,36.4%,9.6,Four-seam FB,52%,W:35%,Slider,26%,W:42%,Curveball,14%,W:31%,Changeup,8%,W:22%,—,0%,—
quinn mathews,STL,L,5.30,4,24,22.0,3.60,Four-seam 46% use,24.1%,23.8%,6.4,Four-seam FB,46%,W:21%,Changeup,24%,W:29%,Slider,18%,W:26%,Curveball,12%,W:22%,—,0%,—
david peterson,CHC,L,5.40,19,94,103.1,3.85,Sinker 34% use,21.5%,22.0%,6.2,Sinker,34%,W:14%,Slider,28%,W:32%,Four-seam FB,18%,W:16%,Changeup,12%,W:24%,Curveball,8%,W:21%
Foster Griffin,CLE,R,5.20,12,62,65.0,3.85,Four-seam FB,38%,21%,23,Four-seam FB,38%,21%,Slider,28%,20%,Changeup,14%,18%
